id_estavel;iri_slug;iri_individuo;classe_principal;rotulo_pt;issued_by;registered_by;holder;nationality;birth_place;birth_municipality_name;birth_ibge_code;birth_uf;foreign_birth_municipality_name;program;registration;signature;validation_code;transcript;academic_documentation;issue_date;status;version;identifier
diplomaLote031;diplomaLote031;rec:diplomaLote031;DiplomaDigital;Diploma 033;rec:iesEmissoraLote01;rec:iesRegistradoraLote07;rec:diplomadoLote031;Brasileira;rec:localNaturalidadeBr2927408;Salvador;2927408;BA;;rec:cursoLote031;rec:registroLote031;rec:assinaturaLote031;rec:codigoValidacaoLote031;rec:historicoLote031;rec:documentacaoAcademicaLote031;2026-05-15;vocab:Ativo;1.05;urn:fake:diploma:033
diplomaLote032;diplomaLote032;rec:diplomaLote032;DiplomaDigital;Diploma 034;rec:iesEmissoraLote02;rec:iesRegistradoraLote08;rec:diplomadoLote032;Brasileira;rec:localNaturalidadeBr2611606;Recife;2611606;PE;;rec:cursoLote032;rec:registroLote032;rec:assinaturaLote032;rec:codigoValidacaoLote032;rec:historicoLote032;rec:documentacaoAcademicaLote032;2026-05-18;vocab:Ativo;1.05;urn:fake:diploma:034
diplomaLote033;diplomaLote033;rec:diplomaLote033;DiplomaDigital;Diploma 035;rec:iesEmissoraLote03;rec:iesRegistradoraLote01;rec:diplomadoLote033;Moçambicana;rec:localNaturalidadeEstrangeiraMaputo;;;;Maputo;rec:cursoLote033;rec:registroLote033;rec:assinaturaLote033;rec:codigoValidacaoLote033;rec:historicoLote033;rec:documentacaoAcademicaLote033;2026-05-21;vocab:Ativo;1.05;urn:fake:diploma:035
diplomaLote034;diplomaLote034;rec:diplomaLote034;DiplomaDigital;Diploma 036;rec:iesEmissoraLote04;rec:iesRegistradoraLote02;rec:diplomadoLote034;Brasileira;rec:localNaturalidadeBr3550308;São Paulo;3550308;SP;;rec:cursoLote034;rec:registroLote034;rec:assinaturaLote034;rec:codigoValidacaoLote034;rec:historicoLote034;rec:documentacaoAcademicaLote034;2026-05-24;vocab:Revogado;1.05;urn:fake:diploma:036
diplomaLote035;diplomaLote035;rec:diplomaLote035;DiplomaDigital;Diploma 037;rec:iesEmissoraLote05;rec:iesRegistradoraLote03;rec:diplomadoLote035;Brasileira;rec:localNaturalidadeBr2111300;São Luís;2111300;MA;;rec:cursoLote035;rec:registroLote035;rec:assinaturaLote035;rec:codigoValidacaoLote035;rec:historicoLote035;rec:documentacaoAcademicaLote035;2026-05-27;vocab:Anulado;1.05;urn:fake:diploma:037
diplomaLote036;diplomaLote036;rec:diplomaLote036;DiplomaDigital;Diploma 038;rec:iesEmissoraLote06;rec:iesRegistradoraLote04;rec:diplomadoLote036;Brasileira;rec:localNaturalidadeBr1721000;Palmas;1721000;TO;;rec:cursoLote036;rec:registroLote036;rec:assinaturaLote036;rec:codigoValidacaoLote036;rec:historicoLote036;rec:documentacaoAcademicaLote036;2026-05-30;vocab:Ativo;1.05;urn:fake:diploma:038
diplomaLote037;diplomaLote037;rec:diplomaLote037;DiplomaDigital;Diploma 039;rec:iesEmissoraLote07;rec:iesRegistradoraLote05;rec:diplomadoLote037;Brasileira;rec:localNaturalidadeBr3550308;São Paulo;3550308;SP;;rec:cursoLote037;rec:registroLote037;rec:assinaturaLote037;rec:codigoValidacaoLote037;rec:historicoLote037;rec:documentacaoAcademicaLote037;2026-06-02;vocab:Ativo;1.05;urn:fake:diploma:039
diplomaLote038;diplomaLote038;rec:diplomaLote038;DiplomaDigital;Diploma 040;rec:iesEmissoraLote08;rec:iesRegistradoraLote06;rec:diplomadoLote038;Brasileira;rec:localNaturalidadeBr5300108;Brasília;5300108;DF;;rec:cursoLote038;rec:registroLote038;rec:assinaturaLote038;rec:codigoValidacaoLote038;rec:historicoLote038;rec:documentacaoAcademicaLote038;2026-06-05;vocab:Ativo;1.05;urn:fake:diploma:040
diplomaLote039;diplomaLote039;rec:diplomaLote039;DiplomaDigital;Diploma 041;rec:iesEmissoraLote09;rec:iesRegistradoraLote07;rec:diplomadoLote039;Brasileira;rec:localNaturalidadeBr3304557;Rio de Janeiro;3304557;RJ;;rec:cursoLote039;rec:registroLote039;rec:assinaturaLote039;rec:codigoValidacaoLote039;rec:historicoLote039;rec:documentacaoAcademicaLote039;2026-06-08;vocab:Revogado;1.05;urn:fake:diploma:041
diplomaLote040;diplomaLote040;rec:diplomaLote040;DiplomaDigital;Diploma 042;rec:iesEmissoraLote10;rec:iesRegistradoraLote08;rec:diplomadoLote040;Brasileira;rec:localNaturalidadeBr2611606;Recife;2611606;PE;;rec:cursoLote040;rec:registroLote040;rec:assinaturaLote040;rec:codigoValidacaoLote040;rec:historicoLote040;rec:documentacaoAcademicaLote040;2026-06-11;vocab:Anulado;1.05;urn:fake:diploma:042
diplomaLote041;diplomaLote041;rec:diplomaLote041;DiplomaDigital;Diploma 043;rec:iesEmissoraLote01;rec:iesRegistradoraLote01;rec:diplomadoLote041;Brasileira;rec:localNaturalidadeBr3204807;São José do Calçado;3204807;ES;;rec:cursoLote041;rec:registroLote041;rec:assinaturaLote041;rec:codigoValidacaoLote041;rec:historicoLote041;rec:documentacaoAcademicaLote041;2026-06-14;vocab:Ativo;1.05;urn:fake:diploma:043
diplomaLote042;diplomaLote042;rec:diplomaLote042;DiplomaDigital;Diploma 044;rec:iesEmissoraLote02;rec:iesRegistradoraLote02;rec:diplomadoLote042;Brasileira;rec:localNaturalidadeBr2304400;Fortaleza;2304400;CE;;rec:cursoLote042;rec:registroLote042;rec:assinaturaLote042;rec:codigoValidacaoLote042;rec:historicoLote042;rec:documentacaoAcademicaLote042;2026-06-17;vocab:Ativo;1.05;urn:fake:diploma:044
diplomaLote043;diplomaLote043;rec:diplomaLote043;DiplomaDigital;Diploma 045;rec:iesEmissoraLote03;rec:iesRegistradoraLote03;rec:diplomadoLote043;Brasileira;rec:localNaturalidadeBr2111300;São Luís;2111300;MA;;rec:cursoLote043;rec:registroLote043;rec:assinaturaLote043;rec:codigoValidacaoLote043;rec:historicoLote043;rec:documentacaoAcademicaLote043;2026-06-20;vocab:Ativo;1.05;urn:fake:diploma:045
diplomaLote044;diplomaLote044;rec:diplomaLote044;DiplomaDigital;Diploma 046;rec:iesEmissoraLote04;rec:iesRegistradoraLote04;rec:diplomadoLote044;Brasileira;rec:localNaturalidadeBr2304400;Fortaleza;2304400;CE;;rec:cursoLote044;rec:registroLote044;rec:assinaturaLote044;rec:codigoValidacaoLote044;rec:historicoLote044;rec:documentacaoAcademicaLote044;2026-06-23;vocab:Revogado;1.05;urn:fake:diploma:046
diplomaLote045;diplomaLote045;rec:diplomaLote045;DiplomaDigital;Diploma 047;rec:iesEmissoraLote05;rec:iesRegistradoraLote05;rec:diplomadoLote045;Brasileira;rec:localNaturalidadeBr1100205;Porto Velho;1100205;RO;;rec:cursoLote045;rec:registroLote045;rec:assinaturaLote045;rec:codigoValidacaoLote045;rec:historicoLote045;rec:documentacaoAcademicaLote045;2026-06-26;vocab:Anulado;1.05;urn:fake:diploma:047
diplomaLote046;diplomaLote046;rec:diplomaLote046;DiplomaDigital;Diploma 048;rec:iesEmissoraLote06;rec:iesRegistradoraLote06;rec:diplomadoLote046;Brasileira;rec:localNaturalidadeBr2304400;Fortaleza;2304400;CE;;rec:cursoLote046;rec:registroLote046;rec:assinaturaLote046;rec:codigoValidacaoLote046;rec:historicoLote046;rec:documentacaoAcademicaLote046;2026-06-29;vocab:Ativo;1.05;urn:fake:diploma:048
diplomaLote047;diplomaLote047;rec:diplomaLote047;DiplomaDigital;Diploma 049;rec:iesEmissoraLote07;rec:iesRegistradoraLote07;rec:diplomadoLote047;Brasileira;rec:localNaturalidadeBr1302603;Manaus;1302603;AM;;rec:cursoLote047;rec:registroLote047;rec:assinaturaLote047;rec:codigoValidacaoLote047;rec:historicoLote047;rec:documentacaoAcademicaLote047;2026-07-02;vocab:Ativo;1.05;urn:fake:diploma:049
diplomaLote048;diplomaLote048;rec:diplomaLote048;DiplomaDigital;Diploma 050;rec:iesEmissoraLote08;rec:iesRegistradoraLote08;rec:diplomadoLote048;Brasileira;rec:localNaturalidadeBr2507507;João Pessoa;2507507;PB;;rec:cursoLote048;rec:registroLote048;rec:assinaturaLote048;rec:codigoValidacaoLote048;rec:historicoLote048;rec:documentacaoAcademicaLote048;2026-07-05;vocab:Ativo;1.05;urn:fake:diploma:050
diplomaLote049;diplomaLote049;rec:diplomaLote049;DiplomaDigital;Diploma 051;rec:iesEmissoraLote09;rec:iesRegistradoraLote01;rec:diplomadoLote049;Brasileira;rec:localNaturalidadeBr1501402;Belém;1501402;PA;;rec:cursoLote049;rec:registroLote049;rec:assinaturaLote049;rec:codigoValidacaoLote049;rec:historicoLote049;rec:documentacaoAcademicaLote049;2026-07-08;vocab:Revogado;1.05;urn:fake:diploma:051
diplomaLote050;diplomaLote050;rec:diplomaLote050;DiplomaDigital;Diploma 052;rec:iesEmissoraLote10;rec:iesRegistradoraLote02;rec:diplomadoLote050;Brasileira;rec:localNaturalidadeBr4106902;Curitiba;4106902;PR;;rec:cursoLote050;rec:registroLote050;rec:assinaturaLote050;rec:codigoValidacaoLote050;rec:historicoLote050;rec:documentacaoAcademicaLote050;2026-07-11;vocab:Anulado;1.05;urn:fake:diploma:052
diplomaLote051;diplomaLote051;rec:diplomaLote051;DiplomaDigital;Diploma 053;rec:iesEmissoraLote01;rec:iesRegistradoraLote03;rec:diplomadoLote051;Brasileira;rec:localNaturalidadeBr2704302;Maceió;2704302;AL;;rec:cursoLote051;rec:registroLote051;rec:assinaturaLote051;rec:codigoValidacaoLote051;rec:historicoLote051;rec:documentacaoAcademicaLote051;2026-07-14;vocab:Ativo;1.05;urn:fake:diploma:053
diplomaLote052;diplomaLote052;rec:diplomaLote052;DiplomaDigital;Diploma 054;rec:iesEmissoraLote02;rec:iesRegistradoraLote04;rec:diplomadoLote052;Brasileira;rec:localNaturalidadeBr5300108;Brasília;5300108;DF;;rec:cursoLote052;rec:registroLote052;rec:assinaturaLote052;rec:codigoValidacaoLote052;rec:historicoLote052;rec:documentacaoAcademicaLote052;2026-07-17;vocab:Ativo;1.05;urn:fake:diploma:054
diplomaLote053;diplomaLote053;rec:diplomaLote053;DiplomaDigital;Diploma 055;rec:iesEmissoraLote03;rec:iesRegistradoraLote05;rec:diplomadoLote053;Brasileira;rec:localNaturalidadeBr3304557;Rio de Janeiro;3304557;RJ;;rec:cursoLote053;rec:registroLote053;rec:assinaturaLote053;rec:codigoValidacaoLote053;rec:historicoLote053;rec:documentacaoAcademicaLote053;2026-07-20;vocab:Ativo;1.05;urn:fake:diploma:055
diplomaLote054;diplomaLote054;rec:diplomaLote054;DiplomaDigital;Diploma 056;rec:iesEmissoraLote04;rec:iesRegistradoraLote06;rec:diplomadoLote054;Brasileira;rec:localNaturalidadeBr2927408;Salvador;2927408;BA;;rec:cursoLote054;rec:registroLote054;rec:assinaturaLote054;rec:codigoValidacaoLote054;rec:historicoLote054;rec:documentacaoAcademicaLote054;2026-07-23;vocab:Revogado;1.05;urn:fake:diploma:056
diplomaLote055;diplomaLote055;rec:diplomaLote055;DiplomaDigital;Diploma 057;rec:iesEmissoraLote05;rec:iesRegistradoraLote07;rec:diplomadoLote055;Brasileira;rec:localNaturalidadeBr2304400;Fortaleza;2304400;CE;;rec:cursoLote055;rec:registroLote055;rec:assinaturaLote055;rec:codigoValidacaoLote055;rec:historicoLote055;rec:documentacaoAcademicaLote055;2026-07-26;vocab:Anulado;1.05;urn:fake:diploma:057
diplomaLote056;diplomaLote056;rec:diplomaLote056;DiplomaDigital;Diploma 058;rec:iesEmissoraLote06;rec:iesRegistradoraLote08;rec:diplomadoLote056;Brasileira;rec:localNaturalidadeBr2800308;Aracaju;2800308;SE;;rec:cursoLote056;rec:registroLote056;rec:assinaturaLote056;rec:codigoValidacaoLote056;rec:historicoLote056;rec:documentacaoAcademicaLote056;2026-07-29;vocab:Ativo;1.05;urn:fake:diploma:058
diplomaLote057;diplomaLote057;rec:diplomaLote057;DiplomaDigital;Diploma 059;rec:iesEmissoraLote07;rec:iesRegistradoraLote01;rec:diplomadoLote057;Brasileira;rec:localNaturalidadeBr3550308;São Paulo;3550308;SP;;rec:cursoLote057;rec:registroLote057;rec:assinaturaLote057;rec:codigoValidacaoLote057;rec:historicoLote057;rec:documentacaoAcademicaLote057;2026-08-01;vocab:Ativo;1.05;urn:fake:diploma:059
diplomaLote058;diplomaLote058;rec:diplomaLote058;DiplomaDigital;Diploma 060;rec:iesEmissoraLote08;rec:iesRegistradoraLote02;rec:diplomadoLote058;Brasileira;rec:localNaturalidadeBr3106200;Belo Horizonte;3106200;MG;;rec:cursoLote058;rec:registroLote058;rec:assinaturaLote058;rec:codigoValidacaoLote058;rec:historicoLote058;rec:documentacaoAcademicaLote058;2026-08-04;vocab:Ativo;1.05;urn:fake:diploma:060
