row_type,subject,subject_kind,triple_count,rdf_types,labels,subject_iri,subject_curie,ont:fullName,rdf:type,rdfs:label,label,ont:issuanceSignerRole,ont:issuanceSignerCpf,ont:registrationSignerRole,ont:registrationSignerCpf,ont:hasSignatureRole,ont:signatureDateTime,ont:institutionallySignedBy,ont:certifiedBy,ont:hasSignatureFormat,ont:hasTimestamp,ont:timestampDateTime,ont:validationCodeValue,ont:awardsTitle,ont:hasAddress,ont:conclusionDate,ont:identifier,ont:courseName,ont:awardsDegree,ont:hasQualification,ont:codeEmec,ont:workloadHours,ont:emphasis,ont:hasModeOfDelivery,ont:hasEmecProcessingInfo,ont:otherAwardedTitle,ont:hasRegistration,ont:environment,ont:issuedBy,ont:version,ont:issueDate,ont:isAccessibleVia,ont:hasSignature,ont:hasStatus,ont:hasValidationCode,ont:hasIssuanceSigner,ont:hasAcademicDocumentation,ont:hasTranscript,ont:registeredBy,ont:hasHolder,ont:hasProgram,ont:nationality,ont:hasBirthPlace,ont:cpf,ont:hasIssuanceResponsibilitySigner,ont:federativeUnit,ont:countryName,ont:streetAddress,ont:postalCode,ont:municipality,ont:qualificationName,ont:qualificationDate,ont:cnpj,ont:institutionMecCode,ont:birthFederativeUnitCode,ont:birthMunicipalityName,ont:ibgeMunicipalityCode,ont:foreignBirthMunicipalityName,ont:registrySequence,ont:registrationDate,ont:hasRegistrationResponsible,ont:registrationNumber,ont:registrationAdditionalInformation,ont:academicDocumentationRequestId,ont:registryPage,ont:registryBook,ont:diplomaExpeditionDate,ont:degreeConferralDate,ont:diplomaProcessNumber,ont:hasRegistrationSigner,ont:responsibleName,ont:responsibleCpf,ont:responsibleInternalId,ont:issuanceResponsibilitySignerCpf,ont:issuanceResponsibilitySignerDesignationAct,ont:issuanceResponsibilitySignerName,ont:issuanceResponsibilitySignerRole,ont:emecRegistrationDate,ont:emecProcessType,ont:emecProcessNumber,ont:emecProtocolDate,dcterms:description,dcterms:created,dcterms:title,owl:imports,rdfs:comment,dcterms:source
entity,rec:assinanteEmissaoLote005,iri,6,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Pessoa Fictícia-0593,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote005,rec:assinanteEmissaoLote005,Pessoa Fictícia-0006,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Assinante da emissao sintetico Lote005,Assinante da emissao sintetico Lote005,Pro-Reitor de Graduacao,CPF-FICTICIO-0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote006,iri,6,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Pessoa Fictícia-0594,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote006,rec:assinanteEmissaoLote006,Pessoa Fictícia-0011,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Assinante da emissao sintetico Lote006,Assinante da emissao sintetico Lote006,Pro-Reitora de Graduacao,CPF-FICTICIO-0041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote007,iri,6,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Pessoa Fictícia-0595,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote007,rec:assinanteEmissaoLote007,Pessoa Fictícia-0016,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Assinante da emissao sintetico Lote007,Assinante da emissao sintetico Lote007,Reitor,CPF-FICTICIO-0046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote008,iri,6,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Pessoa Fictícia-0596,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote008,rec:assinanteEmissaoLote008,Pessoa Fictícia-0021,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Assinante da emissao sintetico Lote008,Assinante da emissao sintetico Lote008,Reitora,CPF-FICTICIO-0051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote009,iri,6,ont:AssinanteEmissao | ont:RepresentanteInstitucionalEmissora,Pessoa Fictícia-0597,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote009,rec:assinanteEmissaoLote009,Pessoa Fictícia-0026,ont:AssinanteEmissao | ont:RepresentanteInstitucionalEmissora,Assinante da emissao sintetico Lote009,Assinante da emissao sintetico Lote009,Diretor Academico,CPF-FICTICIO-0056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote010,iri,6,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Pessoa Fictícia-0598,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote010,rec:assinanteEmissaoLote010,Pessoa Fictícia-0031,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Assinante da emissao sintetico Lote010,Assinante da emissao sintetico Lote010,Diretora Academica,CPF-FICTICIO-0062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote011,iri,6,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Pessoa Fictícia-0599,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote011,rec:assinanteEmissaoLote011,Assinante Fictício-0005,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Assinante da emissao sintetico Lote011,Assinante da emissao sintetico Lote011,Secretario Geral Academico,CPF-FICTICIO-0067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote012,iri,6,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Pessoa Fictícia-0600,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote012,rec:assinanteEmissaoLote012,Assinante Fictício-0010,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Assinante da emissao sintetico Lote012,Assinante da emissao sintetico Lote012,Secretaria Geral Academica,CPF-FICTICIO-0071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote013,iri,6,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Pessoa Fictícia-0601,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote013,rec:assinanteEmissaoLote013,Assinante Fictício-0015,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Assinante da emissao sintetico Lote013,Assinante da emissao sintetico Lote013,Pro-Reitor de Graduacao,CPF-FICTICIO-0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote014,iri,6,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Pessoa Fictícia-0602,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote014,rec:assinanteEmissaoLote014,Assinante Fictício-0020,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Assinante da emissao sintetico Lote014,Assinante da emissao sintetico Lote014,Pro-Reitora de Graduacao,CPF-FICTICIO-0079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote015,iri,6,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Pessoa Fictícia-0603,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote015,rec:assinanteEmissaoLote015,Assinante Fictício-0025,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Assinante da emissao sintetico Lote015,Assinante da emissao sintetico Lote015,Reitor,CPF-FICTICIO-0084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote016,iri,6,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Pessoa Fictícia-0604,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote016,rec:assinanteEmissaoLote016,Assinante Fictício-0030,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Assinante da emissao sintetico Lote016,Assinante da emissao sintetico Lote016,Reitora,CPF-FICTICIO-0088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote017,iri,6,ont:AssinanteEmissao | ont:RepresentanteInstitucionalEmissora,Pessoa Fictícia-0605,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote017,rec:assinanteEmissaoLote017,Pessoa Fictícia-0006,ont:AssinanteEmissao | ont:RepresentanteInstitucionalEmissora,Assinante da emissao sintetico Lote017,Assinante da emissao sintetico Lote017,Diretor Academico,CPF-FICTICIO-0092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote018,iri,6,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Pessoa Fictícia-0606,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote018,rec:assinanteEmissaoLote018,Pessoa Fictícia-0011,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Assinante da emissao sintetico Lote018,Assinante da emissao sintetico Lote018,Diretora Academica,CPF-FICTICIO-0096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote019,iri,6,ont:AssinanteEmissao | ont:RepresentanteInstitucionalEmissora,Pessoa Fictícia-0607,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote019,rec:assinanteEmissaoLote019,Pessoa Fictícia-0016,ont:AssinanteEmissao | ont:RepresentanteInstitucionalEmissora,Assinante da emissao sintetico Lote019,Assinante da emissao sintetico Lote019,Secretario Geral Academico,CPF-FICTICIO-0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote020,iri,6,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Pessoa Fictícia-0608,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote020,rec:assinanteEmissaoLote020,Pessoa Fictícia-0021,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Assinante da emissao sintetico Lote020,Assinante da emissao sintetico Lote020,Secretaria Geral Academica,CPF-FICTICIO-0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote021,iri,6,ont:AssinanteEmissao | ont:RepresentanteInstitucionalEmissora,Pessoa Fictícia-0609,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote021,rec:assinanteEmissaoLote021,Pessoa Fictícia-0026,ont:AssinanteEmissao | ont:RepresentanteInstitucionalEmissora,Assinante da emissao sintetico Lote021,Assinante da emissao sintetico Lote021,Pro-Reitor de Graduacao,CPF-FICTICIO-0109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote022,iri,6,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Pessoa Fictícia-0610,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote022,rec:assinanteEmissaoLote022,Pessoa Fictícia-0031,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Assinante da emissao sintetico Lote022,Assinante da emissao sintetico Lote022,Pro-Reitora de Graduacao,CPF-FICTICIO-0113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote023,iri,6,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Pessoa Fictícia-0611,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote023,rec:assinanteEmissaoLote023,Assinante Fictício-0005,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Assinante da emissao sintetico Lote023,Assinante da emissao sintetico Lote023,Reitor,CPF-FICTICIO-0117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote024,iri,6,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Pessoa Fictícia-0612,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote024,rec:assinanteEmissaoLote024,Assinante Fictício-0010,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Assinante da emissao sintetico Lote024,Assinante da emissao sintetico Lote024,Reitora,CPF-FICTICIO-0121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote025,iri,6,ont:AssinanteEmissao | ont:RepresentanteInstitucionalEmissora,Pessoa Fictícia-0613,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote025,rec:assinanteEmissaoLote025,Assinante Fictício-0015,ont:AssinanteEmissao | ont:RepresentanteInstitucionalEmissora,Assinante da emissao sintetico Lote025,Assinante da emissao sintetico Lote025,Diretor Academico,CPF-FICTICIO-0126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote026,iri,6,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Pessoa Fictícia-0614,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote026,rec:assinanteEmissaoLote026,Assinante Fictício-0020,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Assinante da emissao sintetico Lote026,Assinante da emissao sintetico Lote026,Diretora Academica,CPF-FICTICIO-0130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote027,iri,6,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Pessoa Fictícia-0615,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote027,rec:assinanteEmissaoLote027,Assinante Fictício-0025,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Assinante da emissao sintetico Lote027,Assinante da emissao sintetico Lote027,Secretario Geral Academico,CPF-FICTICIO-0134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote028,iri,6,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Pessoa Fictícia-0616,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote028,rec:assinanteEmissaoLote028,Assinante Fictício-0030,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Assinante da emissao sintetico Lote028,Assinante da emissao sintetico Lote028,Secretaria Geral Academica,CPF-FICTICIO-0138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote029,iri,6,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Pessoa Fictícia-0617,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote029,rec:assinanteEmissaoLote029,Pessoa Fictícia-0006,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Assinante da emissao sintetico Lote029,Assinante da emissao sintetico Lote029,Pro-Reitor de Graduacao,CPF-FICTICIO-0142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote030,iri,6,ont:AssinanteEmissao | ont:RepresentanteInstitucionalEmissora,Pessoa Fictícia-0618,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote030,rec:assinanteEmissaoLote030,Pessoa Fictícia-0011,ont:AssinanteEmissao | ont:RepresentanteInstitucionalEmissora,Assinante da emissao sintetico Lote030,Assinante da emissao sintetico Lote030,Pro-Reitora de Graduacao,CPF-FICTICIO-0147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote031,iri,6,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Pessoa Fictícia-0619,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote031,rec:assinanteEmissaoLote031,Pessoa Fictícia-0016,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Assinante da emissao sintetico Lote031,Assinante da emissao sintetico Lote031,Reitor,CPF-FICTICIO-0151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote032,iri,6,ont:AssinanteEmissao | ont:RepresentanteInstitucionalEmissora,Pessoa Fictícia-0620,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote032,rec:assinanteEmissaoLote032,Pessoa Fictícia-0021,ont:AssinanteEmissao | ont:RepresentanteInstitucionalEmissora,Assinante da emissao sintetico Lote032,Assinante da emissao sintetico Lote032,Reitora,CPF-FICTICIO-0155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
